Title,Price,Operating system,Display diagonal,Memory,Main Camera,Front Camera,Delivery,Manufacturer,Manufacturer's country,Features
Смартфон Xiaomi Redmi Note 9 4+128GB Forest Green (NFC),89 890 ₸,Android,"6,56″ - 16,6 см",128 GB,48 Мп + 8 Мп + 2 Мп + 2 Мп,13 Мп,бесплатно,Xiaomi,Китай,Высокопроизводительный процессор
Смартфон Xiaomi Redmi Note 9S 4/64GB Glacier White,99 990 ₸,Android,"6,7″ - 170,2 мм",64 GB,48 Mpx + 8 Mpx + 5 Mpx + 2 Mpx,16 Mpx,бесплатно,Xiaomi,Китай,Быстрая зарядка
Смартфон Xiaomi Redmi Note 9T 4/128 Nightfall Black,129 990 ₸,Android 10,"6,53″ - 16,59 см",128 GB,48 Mpx + 2 Mpx + 2 Mpx,13 Мп,бесплатно,Xiaomi,Китай,"Тройная камера, Батарея 5000 мAh, NFC, Сканер отпечатков пальцев, Face ID"
Смартфон ZTE Blade A3 2020 1/32GB Dark Grey,31 990 ₸,Android 9.0,"5,45″ - 13,8 см",32 GB,8 Mpx,5 Mpx,бесплатно,ZTE,Китай,"Поддержка бесконтактной оплаты, поддержка VoLTE"
Смартфон ZTE Blade A51 2/32Gb Dark Grey,48 990 ₸,Android 11,"6,5″ - 16,51 см",32 GB,13 Mpx + 2 Mpx,5 Mpx,бесплатно,ZTE,Китай,"Поддержка бесконтактной оплаты, безрамочный дисплей, поддержка VoLTE"
Смартфон ZTE Blade A51 2/64Gb Dark Grey,51 990 ₸,Android 11,"6,5″ - 16,51 см",64 GB,13 Mpx + 2 Mpx,5 Mpx,бесплатно,ZTE,Китай,"Поддержка бесконтактной оплаты, безрамочный дисплей, поддержка VoLTE"
Смартфон ZTE Blade A71 3/64Gb Blue,59 990 ₸,Android 11,"6,5″ - 16,51 см",64 GB,16 Mpx + 8 Mpx + 2 Mpx,8 Mpx,бесплатно,ZTE,Китай,"Поддержка бесконтактной оплаты, безрамочный дисплей, поддержка VoLTE"
Смартфон ОРРО A15 Dynamic Black,69 990 ₸,Android,"6,5″ - 16,51 см",32 GB,13 Mpx + 2Mpx + 2Mpx,5 Mpx,бесплатно,OPPO,Китай,"Память 2GB/32GB, Основная камера 13M+2M+2M, Фронтальная камера 5M, Ультратонкий Дизайн 7.9мм, 3D изогнутый корпус"
Смартфон ОРРО A15 Mystery Blue,69 990 ₸,Android,"6,5″ - 16,51 см",32 GB,13 Mpx + 2Mpx + 2Mpx,5 Mpx,бесплатно,OPPO,Китай,"Память 2GB/32GB, Основная камера 13M+2M+2M, Фронтальная камера 5M, Ультратонкий Дизайн 7.9мм, 3D изогнутый корпус"
Смартфон ОРРО A15s Dynamic Black,84 990 ₸,Android,"6,5″ - 16,51 см",64 GB,13 Mpx + 2Mpx + 2Mpx,8 Mpx,бесплатно,OPPO,Китай,"Память 4GB/64GB, Основная камера 13M+2M+2M, Фронтальная камера 8M, Ультратонкий Дизайн 7.9мм, 3D изогнутый корпус"
Смартфон ОРРО A15s Mystery Blue,84 990 ₸,Android,"6,5″ - 16,51 см",64 GB,13 Mpx + 2Mpx + 2Mpx,8 Mpx,бесплатно,OPPO,Китай,"Память 4GB/64GB, Основная камера 13M+2M+2M, Фронтальная камера 8M, Ультратонкий Дизайн 7.9мм, 3D изогнутый корпус"
Смартфон ОРРО A52 Twilight Black,79 990 ₸,Android,"6,5″ - 16,51 см",64 GB,12Mpx + 8Mpx + 2Mpx + 2Mpx,8 Mpx,бесплатно,OPPO,Китай,"Режим таймера, Быстрый макияж, HDR"
Смартфон ОРРО A53 128GB Mint Cream,109 990 ₸,ColorOS 7.2 на базе Android 10,"6,5″ - 16,51 см",128 GB,13 Mpx + 2Mpx + 2Mpx,8 Mpx,бесплатно,OPPO,Китай,"6.5“ 90Hz LCD Дисплей, 1600*720Память 4GB/64GB5000 мАч большой аккумуляторБыстрая зарядка 18WСтереодинамики"
Смартфон ОРРО A53 64GB Electric Black,99 990 ₸,ColorOS 7.2 на базе Android 10,"6,5″ - 16,51 см",64 GB,13 Mpx + 2Mpx + 2Mpx,8 Mpx,бесплатно,OPPO,Китай,"6.5“ 90Hz LCD Дисплей, 1600*720Память 4GB/64GB5000 мАч большой аккумуляторБыстрая зарядка 18WСтереодинамики"
Смартфон ОРРО A54 4/128GB Crystal Black,129 990 ₸,ColorOS 7.2 на базе Android 10,"6,5″ - 16,51 см",128 GB,13 Mpx + 2Mpx + 2Mpx,16 Mpx,бесплатно,OPPO,Китай,"Память 4GB/64GB(+3 GB при обновлении), Основная камера 13M+2M+2, MФронтальная камера 16М, Быстрая зарядка 18W, Аккумулятор:5000мАч"
Смартфон ОРРО A54 4/128GB Starry Blue,129 990 ₸,ColorOS 7.2 на базе Android 10,"6,5″ - 16,51 см",128 GB,13 Mpx + 2Mpx + 2Mpx,16 Mpx,бесплатно,OPPO,Китай,"Память 4GB/64GB (+3 GB при обновлении), Основная камера 13M+2M+2, MФронтальная камера 16М, Быстрая зарядка 18W, Аккумулятор:5000мАч"
Смартфон ОРРО A54 4/64GB Crystal Black,109 990 ₸,ColorOS 7.2 на базе Android 10,"6,5″ - 16,51 см",64 GB,13 Mpx + 2Mpx + 2Mpx,16 Mpx,бесплатно,OPPO,Китай,Память 4/64GB(+3 GB при обновлении). Основная камера 13M+2M+2M. Фронтальная камера 16М. Быстрая зарядка 18W.
Смартфон ОРРО A54 4/64GB Starry Blue,109 990 ₸,ColorOS 7.2 на базе Android 10,"6,5″ - 16,51 см",64 GB,13 Mpx + 2Mpx + 2Mpx,16 Mpx,бесплатно,OPPO,Китай,Память 4/64GB (+3 GB при обновлении). Основная камера 13M+2M+2M. Фронтальная камера 16М. Быстрая зарядка 18W
Смартфон ОРРО A72 Shining White,119 990 ₸,Android,"6,5″ - 16,51 см",128 GB,48 Мп + 8 Мп + 2 Мп + 2 Мп,16 Mpx,бесплатно,OPPO,Китай,"HDR, Режим таймера, Быстрый макияж"
