Title,Price,Operating system,Display diagonal,Memory,Main Camera,Front Camera,Delivery,Manufacturer,Manufacturer's country,Features
Смартфон Apple iPhone 11 128GB Black Slim Box,334 890 ₸,iOS 13,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Slim Box, Защита от брызг и пыли, Система двух камер"
Смартфон Apple iPhone 11 128GB Green Slim Box,334 890 ₸,iOS 13,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Slim Box, Защита от брызг и пыли, Система двух камер"
Смартфон Apple iPhone 11 128GB Product Red Slim Box,334 890 ₸,iOS 13,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Slim Box, Защита от брызг и пыли, Система двух камер"
Смартфон Apple iPhone 11 128GB Purple Slim Box,334 890 ₸,iOS 13,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Slim Box, Защита от брызг и пыли, Система двух камер"
Смартфон Apple iPhone 11 128GB White Slim Box,334 890 ₸,iOS 13,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Slim Box, Защита от брызг и пыли, Система двух камер"
Смартфон Apple iPhone 11 64GB Black Slim Box,299 890 ₸,iOS 13,"6,1″ - 15,5 см",64 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Slim Box, Защита от брызг и пыли, Система двух камер"
Смартфон Apple iPhone 11 64GB Green Slim Box,299 890 ₸,iOS 13,"6,1″ - 15,5 см",64 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Slim Box, Защита от брызг и пыли, Система двух камер"
Смартфон Apple iPhone 11 64GB Product Red Slim Box,299 890 ₸,iOS 13,"6,1″ - 15,5 см",64 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Slim Box, Защита от брызг и пыли, Система двух камер"
Смартфон Apple iPhone 11 64GB Purple Slim Box,299 890 ₸,iOS 13,"6,1″ - 15,5 см",64 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Slim Box, Защита от брызг и пыли, Система двух камер"
Смартфон Apple iPhone 11 64GB White Slim Box,299 890 ₸,iOS 13,"6,1″ - 15,5 см",64 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Slim Box, Защита от брызг и пыли, Система двух камер"
Смартфон Apple iPhone 11 64GB Yellow Slim Box,299 800 ₸,iOS 13,"6,1″ - 15,5 см",64 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Slim Box, Защита от брызг и пыли, Система двух камер"
Смартфон Apple iPhone 12 128GB (PRODUCT)RED,454 890 ₸,iOS 14,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Быстрая зарядка. Технологии: Сканер лица, Гироскоп, Акселерометр, Датчик приближения, Датчик освещения, Барометр, Компас. Защита корпуса: водозащита, влагозащита, пылезащищенный."
Смартфон Apple iPhone 12 128GB Black,454 890 ₸,iOS 14,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Быстрая зарядка. Технологии: Сканер лица, Гироскоп, Акселерометр, Датчик приближения, Датчик освещения, Барометр, Компас. Защита корпуса: водозащита, влагозащита, пылезащищенный."
Смартфон Apple iPhone 12 128GB Blue,454 890 ₸,iOS 14,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Быстрая зарядка. Технологии: Сканер лица, Гироскоп, Акселерометр, Датчик приближения, Датчик освещения, Барометр, Компас. Защита корпуса: водозащита, влагозащита, пылезащищенный."
Смартфон Apple iPhone 12 128GB Green,454 890 ₸,iOS 14,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Быстрая зарядка. Технологии: Сканер лица, Гироскоп, Акселерометр, Датчик приближения, Датчик освещения, Барометр, Компас. Защита корпуса: водозащита, влагозащита, пылезащищенный."
Смартфон Apple iPhone 12 128GB Purple,454 890 ₸,iOS 14,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Поддержка технологии быстрой зарядки. Беспроводная зарядка. Датчики: датчик освещенности, датчик приближения, цифровой компас, G-сенсор (акселерометр), гироскоп, барометр, Face ID (распознавание лица с помощью камеры TrueDepth)"
Смартфон Apple iPhone 12 128GB White,454 890 ₸,iOS 14,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Быстрая зарядка. Технологии: Сканер лица, Гироскоп, Акселерометр, Датчик приближения, Датчик освещения, Барометр, Компас. Защита корпуса: водозащита, влагозащита, пылезащищенный."
Смартфон Apple iPhone 12 256GB (PRODUCT)RED,514 840 ₸,iOS 14,,256 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Быстрая зарядка. Технологии: Сканер лица, Гироскоп, Акселерометр, Датчик приближения, Датчик освещения, Барометр, Компас. Защита корпуса: водозащита, влагозащита, пылезащищенный."
Смартфон Apple iPhone 12 256GB Black,514 890 ₸,iOS 14,,256 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Быстрая зарядка. Технологии: Сканер лица, Гироскоп, Акселерометр, Датчик приближения, Датчик освещения, Барометр, Компас. Защита корпуса: водозащита, влагозащита, пылезащищенный."
Смартфон Apple iPhone 12 256GB Blue,514 890 ₸,iOS 14,,256 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Быстрая зарядка. Технологии: Сканер лица, Гироскоп, Акселерометр, Датчик приближения, Датчик освещения, Барометр, Компас. Защита корпуса: водозащита, влагозащита, пылезащищенный."
Смартфон Apple iPhone 12 256GB Green,514 890 ₸,iOS 14,"6,1″ - 15,5 см",256 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Быстрая зарядка. Технологии: Сканер лица, Гироскоп, Акселерометр, Датчик приближения, Датчик освещения, Барометр, Компас. Защита корпуса: водозащита, влагозащита, пылезащищенный."
Смартфон Apple iPhone 12 256GB Purple,514 890 ₸,iOS 14,"6,1″ - 15,5 см",256 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Поддержка технологии быстрой зарядки. Беспроводная зарядка. Датчики: датчик освещенности, датчик приближения, цифровой компас, G-сенсор (акселерометр), гироскоп, барометр, Face ID (распознавание лица с помощью камеры TrueDepth)"
Смартфон Apple iPhone 12 256GB White,514 840 ₸,iOS 14,256 GB,12 Mpx + 12 Mpx,12 Mpx,,бесплатно,Apple,Китай,"Быстрая зарядка. Технологии: Сканер лица, Гироскоп, Акселерометр, Датчик приближения, Датчик освещения, Барометр, Компас. Защита корпуса: водозащита, влагозащита, пылезащищенный."
Смартфон Apple iPhone 12 64GB (PRODUCT)RED,424 890 ₸,iOS 14,64 GB,12 Mpx + 12 Mpx,12 Mpx,,бесплатно,Apple,Китай,"Быстрая зарядка. Технологии: Сканер лица, Гироскоп, Акселерометр, Датчик приближения, Датчик освещения, Барометр, Компас. Защита корпуса: водозащита, влагозащита, пылезащищенный."
Смартфон Apple iPhone 12 64GB Black,424 890 ₸,iOS 14,"6,1″ - 15,5 см",64 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Быстрая зарядка. Технологии: Сканер лица, Гироскоп, Акселерометр, Датчик приближения, Датчик освещения, Барометр, Компас. Защита корпуса: водозащита, влагозащита, пылезащищенный."
Смартфон Apple iPhone 12 64GB Blue,424 890 ₸,iOS 14,64 GB,12 Mpx + 12 Mpx,12 Mpx,,бесплатно,Apple,Китай,"Быстрая зарядка. Технологии: Сканер лица, Гироскоп, Акселерометр, Датчик приближения, Датчик освещения, Барометр, Компас. Защита корпуса: водозащита, влагозащита, пылезащищенный."
Смартфон Apple iPhone 12 64GB Green,424 890 ₸,iOS 14,64 GB,12 Mpx + 12 Mpx,12 Mpx,,бесплатно,Apple,Китай,"Быстрая зарядка. Технологии: Сканер лица, Гироскоп, Акселерометр, Датчик приближения, Датчик освещения, Барометр, Компас. Защита корпуса: водозащита, влагозащита, пылезащищенный."
Смартфон Apple iPhone 12 64GB Purple,424 890 ₸,iOS 14,"6,1″ - 15,5 см",64 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Поддержка технологии быстрой зарядки. Беспроводная зарядка. Датчики: датчик освещенности, датчик приближения, цифровой компас, G-сенсор (акселерометр), гироскоп, барометр, Face ID (распознавание лица с помощью камеры TrueDepth)"
Смартфон Apple iPhone 12 64GB White,424 890 ₸,iOS 14,64 GB,12 Mpx + 12 Mpx,12 Mpx,,бесплатно,Apple,Китай,"Быстрая зарядка. Технологии: Сканер лица, Гироскоп, Акселерометр, Датчик приближения, Датчик освещения, Барометр, Компас. Защита корпуса: водозащита, влагозащита, пылезащищенный."
Смартфон Apple iPhone 12 mini 128GB (PRODUCT)RED,394 890 ₸,iOS 14,128 GB,12 Mpx + 12 Mpx,12 Mpx,"Вспышка экрана, Двойная камера, Поддержка 4G, Поддержка 5G, Пыле/-влагозащита, Распознавание лица, NFC",бесплатно,Apple,Китай,"Датчик ориентации экрана. Датчик ускорения (G-sensor). Сенсор распознавания лица. Поддержка беспроводной и быстрой зарядки. Поддержка MagSafe. Водозащита, Влагозащита, Пылезащищенный.  Гироскоп, Акселерометр, Датчик приближения, Датчик освещения, Барометр"
Смартфон Apple iPhone 12 mini 128GB Black,394 890 ₸,iOS 14,128 GB,12 Mpx + 12 Mpx,12 Mpx + 12 Mpx,"Поддержка 5G, Пыле/-влагозащита, Распознавание лица, NFC, Вспышка экрана, Двойная камера, Поддержка 4G",бесплатно,Apple,Китай,"Датчик ориентации экрана. Датчик ускорения (G-sensor). Сенсор распознавания лица. Поддержка беспроводной и быстрой зарядки. Поддержка MagSafe. Водозащита, Влагозащита, Пылезащищенный.  Гироскоп, Акселерометр, Датчик приближения, Датчик освещения, Барометр"
Смартфон Apple iPhone 12 mini 128GB Blue,394 890 ₸,iOS 14,"5,4″ - 13,7 см",128 GB,12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Датчик ориентации экрана. Датчик ускорения (G-sensor). Сенсор распознавания лица. Поддержка беспроводной и быстрой зарядки. Поддержка MagSafe. Водозащита, Влагозащита, Пылезащищенный.  Гироскоп, Акселерометр, Датчик приближения, Датчик освещения, Барометр"
Смартфон Apple iPhone 12 mini 128GB Green,394 890 ₸,iOS 14,"5,4″ - 13,7 см",128 GB,12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Датчик ориентации экрана. Датчик ускорения (G-sensor). Сенсор распознавания лица. Поддержка беспроводной и быстрой зарядки. Поддержка MagSafe. Водозащита, Влагозащита, Пылезащищенный.  Гироскоп, Акселерометр, Датчик приближения, Датчик освещения, Барометр"
Смартфон Apple iPhone 12 mini 128GB Purple,394 890 ₸,iOS 14,"5,4″ - 13,7 см",128 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Датчик ориентации экрана, датчик ускорения (G-sensor), сенсор распознавания лица, поддержка беспроводной и быстрой зарядки, поддержка MagSafe, водозащита, влагозащита, пылезащищенный, гироскоп, акселерометр, датчик приближения, датчик освещения, барометр"
Смартфон Apple iPhone 12 mini 128GB White,394 890 ₸,iOS 14,"5,4″ - 13,7 см",128 GB,12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Датчик ориентации экрана. Датчик ускорения (G-sensor). Сенсор распознавания лица. Поддержка беспроводной и быстрой зарядки. Поддержка MagSafe. Водозащита, Влагозащита, Пылезащищенный.  Гироскоп, Акселерометр, Датчик приближения, Датчик освещения, Барометр"
Смартфон Apple iPhone 12 mini 256GB (PRODUCT)RED,454 890 ₸,iOS 14,256 GB,12 Mpx + 12 Mpx,12 Mpx,"Вспышка экрана, Двойная камера, Поддержка 4G, Поддержка 5G, Пыле/-влагозащита, Распознавание лица, NFC",бесплатно,Apple,Китай,"Датчик ориентации экрана. Датчик ускорения (G-sensor). Сенсор распознавания лица. Поддержка беспроводной и быстрой зарядки. Поддержка MagSafe. Водозащита, Влагозащита, Пылезащищенный.  Гироскоп, Акселерометр, Датчик приближения, Датчик освещения, Барометр"
Смартфон Apple iPhone 12 mini 256GB Black,454 890 ₸,iOS 14,256 GB,12 Mpx + 12 Mpx,12 Mpx,"Вспышка экрана, Двойная камера, Поддержка 4G, Поддержка 5G, Пыле/-влагозащита, Распознавание лица, NFC",бесплатно,Apple,Китай,"Датчик ориентации экрана. Датчик ускорения (G-sensor). Сенсор распознавания лица. Поддержка беспроводной и быстрой зарядки. Поддержка MagSafe. Водозащита, Влагозащита, Пылезащищенный.  Гироскоп, Акселерометр, Датчик приближения, Датчик освещения, Барометр"
Смартфон Apple iPhone 12 mini 256GB Blue,454 890 ₸,iOS 14,256 GB,12 Mpx + 12 Mpx,12 Mpx,"Вспышка экрана, Двойная камера, Поддержка 4G, Поддержка 5G, Пыле/-влагозащита, Распознавание лица, NFC",бесплатно,Apple,Китай,"Датчик ориентации экрана. Датчик ускорения (G-sensor). Сенсор распознавания лица. Поддержка беспроводной и быстрой зарядки. Поддержка MagSafe. Водозащита, Влагозащита, Пылезащищенный.  Гироскоп, Акселерометр, Датчик приближения, Датчик освещения, Барометр"
Смартфон Apple iPhone 12 mini 256GB Green,454 890 ₸,iOS 14,256 GB,12 Mpx + 12 Mpx,12 Mpx,"Вспышка экрана, Двойная камера, Поддержка 4G, Поддержка 5G, Пыле/-влагозащита, Распознавание лица, NFC",бесплатно,Apple,Китай,"Датчик ориентации экрана. Датчик ускорения (G-sensor). Сенсор распознавания лица. Поддержка беспроводной и быстрой зарядки. Поддержка MagSafe. Водозащита, Влагозащита, Пылезащищенный.  Гироскоп, Акселерометр, Датчик приближения, Датчик освещения, Барометр"
Смартфон Apple iPhone 12 mini 256GB White,454 890 ₸,iOS 14,256 GB,12 Mpx + 12 Mpx,12 Mpx + 12 Mpx,"Вспышка экрана, Двойная камера, Поддержка 4G, Поддержка 5G, Пыле/-влагозащита, Распознавание лица, NFC",бесплатно,Apple,Китай,"Датчик ориентации экрана. Датчик ускорения (G-sensor). Сенсор распознавания лица. Поддержка беспроводной и быстрой зарядки. Поддержка MagSafe. Водозащита, Влагозащита, Пылезащищенный.  Гироскоп, Акселерометр, Датчик приближения, Датчик освещения, Барометр"
Смартфон Apple iPhone 12 mini 64GB (PRODUCT)RED,364 890 ₸,iOS 14,64 GB,12 Mpx + 12 Mpx,12 Mpx,"Вспышка экрана, Двойная камера, Поддержка 4G, Поддержка 5G, Пыле/-влагозащита, Распознавание лица, NFC",бесплатно,Apple,Китай,"Датчик ориентации экрана. Датчик ускорения (G-sensor). Сенсор распознавания лица. Поддержка беспроводной и быстрой зарядки. Поддержка MagSafe. Водозащита, Влагозащита, Пылезащищенный.  Гироскоп, Акселерометр, Датчик приближения, Датчик освещения, Барометр"
Смартфон Apple iPhone 12 mini 64GB Black,364 890 ₸,iOS 14,"5,4″ - 13,7 см",64 GB,12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Датчик ориентации экрана. Датчик ускорения (G-sensor). Сенсор распознавания лица. Поддержка беспроводной и быстрой зарядки. Поддержка MagSafe. Водозащита, Влагозащита, Пылезащищенный.  Гироскоп, Акселерометр, Датчик приближения, Датчик освещения, Барометр"
Смартфон Apple iPhone 12 mini 64GB Blue,356 290 ₸,iOS 14,64 GB,12 Mpx + 12 Mpx,12 Mpx,"Вспышка экрана, Двойная камера, Поддержка 4G, Поддержка 5G, Пыле/-влагозащита, Распознавание лица, NFC",бесплатно,Apple,Китай,"Датчик ориентации экрана. Датчик ускорения (G-sensor). Сенсор распознавания лица. Поддержка беспроводной и быстрой зарядки. Поддержка MagSafe. Водозащита, Влагозащита, Пылезащищенный.  Гироскоп, Акселерометр, Датчик приближения, Датчик освещения, Барометр"
Смартфон Apple iPhone 12 mini 64GB Green,364 890 ₸,iOS 14,64 GB,12 Mpx + 12 Mpx,12 Mpx,"Вспышка экрана, Поддержка 4G, Поддержка 5G, Пыле/-влагозащита, Распознавание лица, NFC",бесплатно,Apple,Китай,"Датчик ориентации экрана. Датчик ускорения (G-sensor). Сенсор распознавания лица. Поддержка беспроводной и быстрой зарядки. Поддержка MagSafe. Водозащита, Влагозащита, Пылезащищенный.  Гироскоп, Акселерометр, Датчик приближения, Датчик освещения, Барометр"
Смартфон Apple iPhone 12 mini 64GB Purple,364 890 ₸,iOS 14,"5,4″ - 13,7 см",64 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Датчик ориентации экрана, датчик ускорения (G-sensor), сенсор распознавания лица, поддержка беспроводной и быстрой зарядки, поддержка MagSafe, водозащита, влагозащита, пылезащищенный, гироскоп, акселерометр, датчик приближения, датчик освещения, барометр"
Смартфон Apple iPhone 12 mini 64GB White,349 990 ₸,iOS 14,64 GB,12 Mpx + 12 Mpx,12 Mpx,"Вспышка экрана, Двойная камера, Поддержка 4G, Поддержка 5G, Пыле/-влагозащита, Распознавание лица, NFC",бесплатно,Apple,Китай,"Датчик ориентации экрана. Датчик ускорения (G-sensor). Сенсор распознавания лица. Поддержка беспроводной и быстрой зарядки. Поддержка MagSafe. Водозащита, Влагозащита, Пылезащищенный.  Гироскоп, Акселерометр, Датчик приближения, Датчик освещения, Барометр"
Смартфон Apple iPhone 12 Pro 128GB Gold,589 890 ₸,iOS 14,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Встроенный барометр, поддержка беспроводной зарядки, степень защиты	IP68, погружение в воду на глубину 6 м"
Смартфон Apple iPhone 12 Pro 128GB Graphite,589 890 ₸,iOS 14,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Встроенный барометр, поддержка беспроводной зарядки, степень защиты	IP68, погружение в воду на глубину 6 м"
Смартфон Apple iPhone 12 Pro 128GB Pacific Blue,589 890 ₸,iOS 14,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Встроенный барометр, поддержка беспроводной зарядки, степень защиты	IP68, погружение в воду на глубину 6 м"
Смартфон Apple iPhone 12 Pro 128GB Silver,589 890 ₸,iOS 14,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Встроенный барометр, поддержка беспроводной зарядки, степень защиты	IP68, погружение в воду на глубину 6 м"
Смартфон Apple iPhone 12 Pro 256GB Gold,649 890 ₸,iOS 14,"6,1″ - 15,5 см",256 GB,12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Встроенный барометр, поддержка беспроводной зарядки, степень защиты	IP68, погружение в воду на глубину 6 м"
Смартфон Apple iPhone 12 Pro 256GB Graphite,649 890 ₸,iOS 14,"6,1″ - 15,5 см",256 GB,12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Встроенный барометр, поддержка беспроводной зарядки, степень защиты	IP68, погружение в воду на глубину 6 м"
Смартфон Apple iPhone 12 Pro 256GB Pacific Blue,649 890 ₸,iOS 14,"6,1″ - 15,5 см",256 GB,12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Встроенный барометр, поддержка беспроводной зарядки, степень защиты	IP68, погружение в воду на глубину 6 м"
Смартфон Apple iPhone 12 Pro 256GB Silver,649 890 ₸,iOS 14,"6,1″ - 15,5 см",256 GB,12 Mpx,12 Mpx,бесплатно,Apple,Китай,"Встроенный барометр, поддержка беспроводной зарядки, степень защиты	IP68, погружение в воду на глубину 6 м"
Смартфон Apple iPhone 12 Pro 512GB Gold,769 890 ₸,iOS 14,512 GB,,,,бесплатно,Apple,Китай,"Встроенный барометр, поддержка беспроводной зарядки, степень защиты	IP68, погружение в воду на глубину 6 м"
Смартфон Apple iPhone 12 Pro 512GB Graphite,769 890 ₸,iOS 14,512 GB,,,,бесплатно,Apple,Китай,"Встроенный барометр, поддержка беспроводной зарядки, степень защиты	IP68, погружение в воду на глубину 6 м"
Смартфон Apple iPhone 12 Pro 512GB Pacific Blue,769 890 ₸,iOS 14,512 GB,,,,бесплатно,Apple,Китай,"Встроенный барометр, поддержка беспроводной зарядки, степень защиты	IP68, погружение в воду на глубину 6 м"
Смартфон Apple iPhone 12 Pro 512GB Silver,769 890 ₸,iOS 14,512 GB,,,,бесплатно,Apple,Китай,"Встроенный барометр, поддержка беспроводной зарядки, степень защиты	IP68, погружение в воду на глубину 6 м"
Смартфон Apple iPhone 12 Pro Max 128GB Gold,649 890 ₸,iOS,"6,7″ - 170,2 мм",128 GB,12 Mpx + 12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,Погружение в воду на глубину 6 м
Смартфон Apple iPhone 12 Pro Max 128GB Graphite,649 890 ₸,iOS,"6,7″ - 170,2 мм",128 GB,12 Mpx + 12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,Погружение в воду на глубину 6 м
Смартфон Apple iPhone 12 Pro Max 128GB Pacific Blue,649 890 ₸,iOS,"6,7″ - 170,2 мм",128 GB,12 Mpx + 12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,Погружение в воду на глубину 6 м
Смартфон Apple iPhone 12 Pro Max 128GB Silver,649 890 ₸,iOS,"6,7″ - 170,2 мм",128 GB,12 Mpx + 12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,Погружение в воду на глубину 6 м
Смартфон Apple iPhone 12 Pro Max 256GB Gold,709 890 ₸,iOS,"6,7″ - 170,2 мм",256 GB,12 Mpx + 12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,Погружение в воду на глубину 6 м
Смартфон Apple iPhone 12 Pro Max 256GB Graphite,709 890 ₸,iOS,"6,7″ - 170,2 мм",256 GB,12 Mpx + 12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,Погружение в воду на глубину 6 м
Смартфон Apple iPhone 12 Pro Max 256GB Pacific Blue,709 890 ₸,iOS,"6,7″ - 170,2 мм",256 GB,12 Mpx + 12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,Погружение в воду на глубину 6 м
Смартфон Apple iPhone 12 Pro Max 256GB Silver,709 890 ₸,iOS,"6,7″ - 170,2 мм",256 GB,12 Mpx + 12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,Погружение в воду на глубину 6 м
Смартфон Apple iPhone 12 Pro Max 512GB Gold,829 890 ₸,iOS,"6,7″ - 170,2 мм",512 GB,12 Mpx + 12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,Погружение в воду на глубину 6 м
Смартфон Apple iPhone 12 Pro Max 512GB Silver,829 890 ₸,iOS,"6,7″ - 170,2 мм",512 GB,12 Mpx + 12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,Погружение в воду на глубину 6 м
Смартфон Apple iPhone 13 128GB (PRODUCT)RED,494 990 ₸,iOS,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,Режим «Киноэффект» для съёмки видео с малой глубиной резкости (1080p с частотой 30 кадров в секунду)
Смартфон Apple iPhone 13 128GB (PRODUCT)RED,494 990 ₸,iOS,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,Режим «Киноэффект» для съёмки видео с малой глубиной резкости (1080p с частотой 30 кадров в секунду)
Смартфон Apple iPhone 13 128GB (PRODUCT)RED,494 990 ₸,iOS,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,Режим «Киноэффект» для съёмки видео с малой глубиной резкости (1080p с частотой 30 кадров в секунду)
Смартфон Apple iPhone 13 128GB (PRODUCT)RED,494 990 ₸,iOS,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,Режим «Киноэффект» для съёмки видео с малой глубиной резкости (1080p с частотой 30 кадров в секунду)
Смартфон Apple iPhone 13 128GB (PRODUCT)RED,494 990 ₸,iOS,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,Режим «Киноэффект» для съёмки видео с малой глубиной резкости (1080p с частотой 30 кадров в секунду)
Смартфон Apple iPhone 13 128GB (PRODUCT)RED,494 990 ₸,iOS,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,Режим «Киноэффект» для съёмки видео с малой глубиной резкости (1080p с частотой 30 кадров в секунду)
Смартфон Apple iPhone 13 128GB (PRODUCT)RED,494 990 ₸,iOS,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,Режим «Киноэффект» для съёмки видео с малой глубиной резкости (1080p с частотой 30 кадров в секунду)
Смартфон Apple iPhone 13 128GB (PRODUCT)RED,494 990 ₸,iOS,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,Режим «Киноэффект» для съёмки видео с малой глубиной резкости (1080p с частотой 30 кадров в секунду)
Смартфон Apple iPhone 13 128GB (PRODUCT)RED,494 990 ₸,iOS,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,Режим «Киноэффект» для съёмки видео с малой глубиной резкости (1080p с частотой 30 кадров в секунду)
Смартфон Apple iPhone 13 128GB (PRODUCT)RED,494 990 ₸,iOS,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,Режим «Киноэффект» для съёмки видео с малой глубиной резкости (1080p с частотой 30 кадров в секунду)
Смартфон Apple iPhone 13 128GB (PRODUCT)RED,494 990 ₸,iOS,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,Режим «Киноэффект» для съёмки видео с малой глубиной резкости (1080p с частотой 30 кадров в секунду)
Смартфон Apple iPhone 13 128GB (PRODUCT)RED,494 990 ₸,iOS,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,Режим «Киноэффект» для съёмки видео с малой глубиной резкости (1080p с частотой 30 кадров в секунду)
Смартфон Apple iPhone 13 128GB (PRODUCT)RED,494 990 ₸,iOS,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,Режим «Киноэффект» для съёмки видео с малой глубиной резкости (1080p с частотой 30 кадров в секунду)
Смартфон Apple iPhone 13 128GB (PRODUCT)RED,494 990 ₸,iOS,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,Режим «Киноэффект» для съёмки видео с малой глубиной резкости (1080p с частотой 30 кадров в секунду)
Смартфон Apple iPhone 13 128GB (PRODUCT)RED,494 990 ₸,iOS,"6,1″ - 15,5 см",128 GB,12 Mpx + 12 Mpx,12 Mpx,бесплатно,Apple,Китай,Режим «Киноэффект» для съёмки видео с малой глубиной резкости (1080p с частотой 30 кадров в секунду)
