Title,Price in Tenge,Operating system,Display diagonal,Memory(GB),Main Camera,Front Camera,Delivery,Manufacturer,Features,Color
"Смартфон Samsung Galaxy A12 NEW 32GB, Red",69890,Android 11,"6.5""",32Гб,48.0 MП,8.0 МП,бесплатно,Samsung,"Количество SIM-карт:2 SIM, Разрешение экрана:720 X 1600, Технология изготовления экрана:TFT, Датчики:gps, Тип устройства / товара:смартфон, Модель:A12 NEW, Цвет передней панели:чёрный, Серия смартфона:A12 New, Автофокусировка:нет, Встроенная вспышка:есть, ",красный
"Смартфон Samsung Galaxy Z Flip 3 256GB, Black (SM-F711BZKESKZ)",579890,Android 11,"6.7""",256Гб,12,10,бесплатно,Samsung,"Количество SIM-карт:2 SIM, Разрешение экрана:2640x1080, Технология изготовления экрана:Dynamic AMOLED 2X, Датчики:gps, Количество мегапикселей основной камеры (Мп):12, Тип устройства / товара:смартфон, Модель:Galaxy Z Flip 3, Цвет передней панели:чёрный, Серия смартфона:Galaxy Z Flip 3, Автофокусировка:нет, Встроенная вспышка:есть, ",чёрный
"Смартфон Galaxy Z Fold 3 512GB, Phantom Black",999890,Android 11,"7.6""",512Гб,12МП Широкоугольная; 12МП Ультраширокоугольная; 12МП Телеобъектив,10МП фронтальная камера на внешнем экране; 4МП подэкранная фронтальная камера на основном экране,бесплатно,Samsung,"Количество SIM-карт:2 SIM, Разрешение экрана:1768x2208, Технология изготовления экрана:Dynamic AMOLED 2X, Датчики:gps, Количество мегапикселей основной камеры (Мп):12МП Широкоугольная; 12МП Ультраширокоугольная; 12МП Телеобъектив, Тип устройства / товара:смартфон, Модель:Galaxy Z Fold 3, Цвет передней панели:чёрный, Серия смартфона:Galaxy Z Fold 3, Автофокусировка:нет, Встроенная вспышка:есть, ",чёрный
"Смартфон Samsung Galaxy A12 NEW 32GB, Black",69890,Android 11,"6.5""",32Гб,48.0 MП,8.0 МП,бесплатно,Samsung,"Количество SIM-карт:2 SIM, Разрешение экрана:720 X 1600, Технология изготовления экрана:TFT, Датчики:gps, Тип устройства / товара:смартфон, Модель:A12 NEW, Цвет передней панели:чёрный, Серия смартфона:A12 New, Автофокусировка:нет, Встроенная вспышка:есть, ",чёрный
"Смартфон Samsung Galaxy A12 NEW 32GB, Blue",69890,Android 11,"6.5""",32Гб,48.0 MП,8.0 МП,бесплатно,Samsung,"Количество SIM-карт:2 SIM, Разрешение экрана:720 X 1600, Технология изготовления экрана:TFT, Датчики:gps, Тип устройства / товара:смартфон, Модель:A12 NEW, Цвет передней панели:чёрный, Серия смартфона:A12 New, Автофокусировка:нет, Встроенная вспышка:есть, ",голубой
"Смартфон Samsung Galaxy A22, 128Гб, белый (SM-A225FZWGSKZ)",109890,Android,"6.4""",128Гб,48+8+2+2,13,бесплатно,Samsung,"Количество SIM-карт:2 SIM, Разрешение экрана:1600x720, Технология изготовления экрана:Super AMOLED, Количество ядер:8, Датчики:gps, Тип устройства / товара:смартфон, Модель:SM-A225FZWGSKZ, Цвет передней панели:чёрный, Серия смартфона:Galaxy A22, Автофокусировка:есть, Встроенная вспышка:есть, ",белый
"Смартфон Samsung Galaxy Z Flip 3 128GB, Green (SM-F711BZGASKZ)",549890,Android 11,"6.7""",128Гб,12,10,бесплатно,Samsung,"Количество SIM-карт:2 SIM, Разрешение экрана:2640x1080, Технология изготовления экрана:Dynamic AMOLED 2X, Датчики:gps, Количество мегапикселей основной камеры (Мп):12, Тип устройства / товара:смартфон, Модель:Galaxy Z Flip 3, Цвет передней панели:чёрный, Серия смартфона:Galaxy Z Flip 3, Автофокусировка:нет, Встроенная вспышка:нет, ",зеленый
Смартфон BQ 6631G Surf черный,40625,Android 10,"6.53""",16Гб,8 + 0.3,2,бесплатно,BQ,"Количество SIM-карт:2 SIM, Разрешение экрана:720x1560, Технология изготовления экрана:IPS , Количество ядер:4, Датчики:gps, Тип устройства / товара:смартфон, Модель:6631G Surf, Цвет передней панели:чёрный, Автофокусировка:нет, Встроенная вспышка:нет, ",чёрный
Смартфон BQ-6030G Practic черный,38266,Android 10,"5.99""",32Гб,8.0 + 0.08,2,бесплатно,BQ,"Количество SIM-карт:2 SIM, Разрешение экрана:960x480, Технология изготовления экрана:IPS , Количество ядер:4, Датчики:gps, Тип устройства / товара:смартфон, Модель:6030G Practic, Цвет передней панели:чёрный, Автофокусировка:нет, Встроенная вспышка:нет, ",чёрный
"Смартфон Xiaomi Redmi Note 10S 6-128GB, Pebble White",119990,,"6.43""",128Гб,"4 камеры, 64+8+2+2",13,бесплатно,Xiaomi,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:AMOLED, Количество ядер:8, Датчики:gps, Тип устройства / товара:смартфон, Модель:Redmi Note 10S, Цвет передней панели:чёрный, Серия смартфона:Redmi Note 10s, Автофокусировка:нет, Встроенная вспышка:нет, ",белый
"Смартфон BQ 6022G, Aura",36666,Android 10,"6""",16Гб,8,2,бесплатно,BQ,"Количество SIM-карт:2 SIM, Разрешение экрана:960x480, Технология изготовления экрана:IPS , Количество ядер:4, Датчики:gps, Тип устройства / товара:смартфон, Модель:6022G Aura, Цвет передней панели:чёрный, Автофокусировка:нет, Встроенная вспышка:нет, ",синий
"Смартфон Samsung Galaxy Z Flip 3 128GB, Black (SM-F711BZKASKZ)",549890,Android 11,"6.7""",128Гб,12,10,бесплатно,Samsung,"Количество SIM-карт:2 SIM, Разрешение экрана:2640x1080, Технология изготовления экрана:Dynamic AMOLED 2X, Датчики:gps, Количество мегапикселей основной камеры (Мп):12, Тип устройства / товара:смартфон, Модель:Galaxy Z Flip 3, Цвет передней панели:чёрный, Серия смартфона:Galaxy Z Flip 3, Автофокусировка:нет, Встроенная вспышка:есть, ",чёрный
"Смартфон BQ 6630L Magic L, черный",60000,Android 10,"6.53""",32Гб,12 + 0.3,8,бесплатно,BQ,"Количество SIM-карт:2 SIM, Разрешение экрана:720 X 1600, Технология изготовления экрана:IPS , Количество ядер:8, Датчики:gps, Тип устройства / товара:смартфон, Модель:6630L Magic L, Цвет передней панели:чёрный, Автофокусировка:нет, Встроенная вспышка:нет, ",чёрный
Смартфон Samsung Galaxy A22 64GB Black (SM-A225FZKDSKZ),99890,Android,"6.4""",64Гб,48.0 MП + 8.0 MП + 2.0 MП + 2.0 MП,13.0 МП,бесплатно,Samsung,"Количество SIM-карт:2 SIM, Разрешение экрана:720 X 1600, Технология изготовления экрана:Super AMOLED, Количество ядер:8, Датчики:gps, Тип устройства / товара:смартфон, Модель:A22, Цвет передней панели:чёрный, Серия смартфона:Galaxy A22, Автофокусировка:нет, Диафрагма:ƒ/2.4, Встроенная вспышка:есть, ",чёрный
"Смартфон Samsung Galaxy A22, 128Гб, мятный (SM-A225FLGGSKZ)",109890,Android,"6.4""",128Гб,48+8+2+2,13,бесплатно,Samsung,"Количество SIM-карт:2 SIM, Разрешение экрана:1600x720, Технология изготовления экрана:Super AMOLED, Количество ядер:8, Датчики:gps, Тип устройства / товара:смартфон, Модель:SM-A225FLGGSKZ, Цвет передней панели:чёрный, Серия смартфона:Galaxy A22, Автофокусировка:есть, Встроенная вспышка:есть, ",Зеленый (mint)
"Смартфон Xiaomi Redmi Note 10S 6-64GB, Pebble White",109990,,"6.43""",64Гб,"4 камеры, 64+8+2+2",13,бесплатно,Xiaomi,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:AMOLED, Количество ядер:8, Датчики:gps, Тип устройства / товара:смартфон, Модель:Redmi Note 10S, Цвет передней панели:чёрный, Серия смартфона:Redmi Note 10s, Автофокусировка:нет, Встроенная вспышка:нет, ",белый
"Смартфон Xiaomi Poco M3 Pro 4/64GB, Power Black",89990,Android,"6.5""",64Гб,48Мп+2Мп+2Мп,8,бесплатно,Xiaomi,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:IPS-LCD, Количество ядер:8, Датчики:gps, Тип устройства / товара:смартфон, Модель:Poco M3 Pro, Цвет передней панели:чёрный, Автофокусировка:нет, Встроенная вспышка:есть, ",чёрный
"Смартфон Xiaomi Mi 11 8/256GB, Horizon Blue",399990,Android 11,"6.81""",256Гб,108 Мп + 13 Мп + 5 Мп,20,бесплатно,Xiaomi,"Количество SIM-карт:2 SIM, Разрешение экрана:3200х1440, Технология изготовления экрана:AMOLED, Количество ядер:8, Датчики:гироскоп, Тип устройства / товара:смартфон, Модель:Xiaomi Mi 11, Цвет передней панели:чёрный, Автофокусировка:нет, Встроенная вспышка:есть, ",голубой
"Смартфон Xiaomi Poco X3 Pro 8/256GB, Frost Blue",129990,Android 11,"6.67""",256Гб,48 МП + 8 МП + 2 МП + 2 МП,20,бесплатно,Xiaomi,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:IPS , Количество ядер:8, Датчики:акселерометр, Тип устройства / товара:смартфон, Модель:Poco X3 Pro, Цвет передней панели:чёрный, Автофокусировка:нет, Диафрагма:ƒ/2.4, Встроенная вспышка:нет, ",синий
"Смартфон Samsung Galaxy A22, 64Гб, мятный (SM-A225FLGDSKZ)",99890,Android,"6.4""",64Гб,48+8+2+2,13,бесплатно,Samsung,"Количество SIM-карт:2 SIM, Разрешение экрана:1600x720, Технология изготовления экрана:Super AMOLED, Количество ядер:8, Датчики:gps, Тип устройства / товара:смартфон, Модель:SM-A225FLGDSKZ, Цвет передней панели:чёрный, Серия смартфона:Galaxy A22, Автофокусировка:есть, Встроенная вспышка:есть, ",Зеленый (mint)
Смартфон Samsung Galaxy A22 64GB White (SM-A225FZWDSKZ),99890,Android,"6.4""",64Гб,48.0 MП + 8.0 MП + 2.0 MП + 2.0 MП,13.0 МП,бесплатно,Samsung,"Количество SIM-карт:2 SIM, Разрешение экрана:720 X 1600, Технология изготовления экрана:Super AMOLED, Количество ядер:8, Датчики:gps, Тип устройства / товара:смартфон, Модель:A22, Цвет передней панели:чёрный, Серия смартфона:Galaxy A22, Автофокусировка:нет, Диафрагма:ƒ/2.4, Разрешение снимков:, Встроенная вспышка:есть, ",белый
"Смартфон Vivo V21, Dusk Blue",179990,,"6.44""",128Гб,64,44,бесплатно,Vivo,"Количество SIM-карт:2 SIM, Разрешение экрана:2404×1080, Технология изготовления экрана:AMOLED, Датчики:акселерометр, Тип устройства / товара:смартфон, Модель:V21, Цвет передней панели:чёрный, Серия смартфона:V21, Автофокусировка:есть, Диафрагма:ƒ/2, Встроенная вспышка:нет, ",синий
"Смартфон Nokia G20 DS LTE 64GB, Blue",84990,Android 11,"6.5""",64Гб,48+5+2+2,8,бесплатно,Nokia,"Количество SIM-карт:2 SIM, Разрешение экрана:1600x720, Датчики:акселерометр, Тип устройства / товара:смартфон, Модель:Nokia G20, Цвет передней панели:чёрный, Автофокусировка:нет, Встроенная вспышка:есть, Тип вспышки:светодиодная (LED), ",синий
"Смартфон Vivo Y31 64GB, Ocean Blue",99990,,"6.58""",64Гб,48/2/2,8,бесплатно,Vivo,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Датчики:акселерометр, Тип устройства / товара:смартфон, Модель:Y31, Цвет передней панели:голубой, Серия смартфона:Y31, Автофокусировка:нет, Встроенная вспышка:есть, Дополнительные функции фотосъемки:Ночной режим, Портретный режим, Фото, Видео, Панорама, Живые фото, Замедленная съёмка, Таймлапс, Профессиональный режим, DOC, 48 Мп, ",голубой
"Смартфон Nokia C20 DS LTE 32 GB, Blue",47990,Android 11,"6.5""",32Гб,5,5,бесплатно,Nokia,"Датчики:gps, Количество мегапикселей основной камеры (Мп):5, Количество мегапикселей фронтальной камеры (Мп):5, Тип устройства / товара:смартфон, Модель:C20, Цвет передней панели:чёрный, Автофокусировка:нет, Встроенная вспышка:есть, Тип вспышки:светодиодная (LED), ",темно-синий
"Смартфон Vivo Y31 64GB, Racing Black",99990,,"6.58""",64Гб,48/2/2,8,бесплатно,Vivo,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Датчики:акселерометр, Тип устройства / товара:смартфон, Модель:Y31, Цвет передней панели:чёрный, Серия смартфона:Y31, Автофокусировка:нет, Встроенная вспышка:есть, Дополнительные функции фотосъемки:Ночной режим, Портретный режим, Фото, Видео, Панорама, Живые фото, Замедленная съёмка, Таймлапс, Профессиональный режим, DOC, 48 Мп, ",чёрный
"Смартфон Samsung Galaxy A22 128GB, черный (SM-A225FZKGSKZ)",109890,Android,"6.4""",128Гб,48.0 MП + 8.0 MП + 2.0 MП + 2.0 MП,13.0 МП,бесплатно,Samsung,"Количество SIM-карт:2 SIM, Разрешение экрана:720 X 1600, Технология изготовления экрана:Super AMOLED, Количество ядер:8, Датчики:gps, Тип устройства / товара:смартфон, Модель:A22, Цвет передней панели:чёрный, Серия смартфона:Galaxy A22, Автофокусировка:нет, Диафрагма:ƒ/2.4, Разрешение снимков:, Встроенная вспышка:есть, ",чёрный
"Смартфон Nokia G10 DS LTE 32GB, Blue",64990,Android 11,"6.5""",32Гб,13+2+2,8,бесплатно,Nokia,"Количество SIM-карт:2 SIM, Разрешение экрана:1600x720, Датчики:акселерометр, Тип устройства / товара:смартфон, Модель:Nokia G10, Цвет передней панели:чёрный, Автофокусировка:нет, Встроенная вспышка:есть, Тип вспышки:светодиодная (LED), ",синий
"Смартфон Xiaomi Redmi Note 10s 6-64GB, Ocean Blue",109990,Android 11,"6.43""",64Гб,64,13,бесплатно,Xiaomi,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:AMOLED, Датчики:gps, Тип устройства / товара:смартфон, Модель:Redmi Note 10s, Цвет передней панели:чёрный, Серия смартфона:Redmi Note 10s, Автофокусировка:нет, Встроенная вспышка:есть, Дополнительные функции фотосъемки:Ночной режим. AI украсить. Портретный режим AI с боке и контролем глубины, ",голубой
"Смартфон Nokia 1.4 DS LTE, Blue",49990,Android Q Go,"6.5""",32Гб,8+2,5,бесплатно,Nokia,"Количество SIM-карт:2 SIM, Разрешение экрана:720 X 1600, Датчики:акселерометр, Тип устройства / товара:смартфон, Модель:Nokia 1.4, Цвет передней панели:чёрный, Автофокусировка:нет, Встроенная вспышка:есть, Тип вспышки:светодиодная (LED), ",синий
"Смартфон Vivo V21, Sunset Dazzle",179990,,"6.44""",128Гб,64,44,бесплатно,Vivo,"Количество SIM-карт:2 SIM, Разрешение экрана:2404×1080, Технология изготовления экрана:AMOLED, Датчики:акселерометр, Тип устройства / товара:смартфон, Модель:V21, Цвет передней панели:чёрный, Серия смартфона:V21, Автофокусировка:есть, Диафрагма:ƒ/2, Встроенная вспышка:нет, ",
"Смартфон Vivo V21E, Roman Black",149990,Android 11,"6.44""",128Гб,64,44,бесплатно,Vivo,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:AMOLED, Количество мегапикселей основной камеры (Мп):64, Количество мегапикселей фронтальной камеры (Мп):44, Тип устройства / товара:смартфон, Модель:V21E, Цвет передней панели:чёрный, Серия смартфона:V21E, Автофокусировка:есть, Диафрагма:ƒ/2, Встроенная вспышка:нет, ",чёрный
"Смартфон Vivo V21E, Diamond Flare",149990,Android 11,"6.44""",128Гб,64,44,бесплатно,Vivo,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:AMOLED, Количество мегапикселей основной камеры (Мп):64, Количество мегапикселей фронтальной камеры (Мп):44, Тип устройства / товара:смартфон, Модель:V21E, Цвет передней панели:чёрный, Серия смартфона:V21E, Автофокусировка:есть, Диафрагма:ƒ/2, Встроенная вспышка:нет, ",
"Смартфон Xiaomi Redmi Note 10s 6-128GB, Ocean Blue",119990,Android 11,"6.43""",128Гб,64,13,бесплатно,Xiaomi,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:AMOLED, Датчики:gps, Тип устройства / товара:смартфон, Модель:Redmi Note 10s, Цвет передней панели:чёрный, Серия смартфона:Redmi Note 10s, Автофокусировка:нет, Встроенная вспышка:есть, Дополнительные функции фотосъемки:Ночной режим. AI украсить. Портретный режим AI с боке и контролем глубины, ",голубой
"Смартфон Nokia 2.4 DS LTE, Blue",54990,Android 10,"6.5""",32Гб,13+2,5,бесплатно,Nokia,"Количество SIM-карт:2 SIM, Разрешение экрана:1600x720, Датчики:акселерометр, Тип устройства / товара:смартфон, Модель:Nokia 2.4, Цвет передней панели:чёрный, Автофокусировка:нет, Встроенная вспышка:есть, Тип вспышки:светодиодная (LED), ",голубой
"Смартфон Xiaomi Redmi Note 10s 6-64GB, Onyx Gray",109990,Android 11,"6.43""",64Гб,64,13,бесплатно,Xiaomi,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:AMOLED, Датчики:gps, Тип устройства / товара:смартфон, Модель:Redmi Note 10s, Цвет передней панели:чёрный, Серия смартфона:Redmi Note 10s, Автофокусировка:нет, Встроенная вспышка:есть, Дополнительные функции фотосъемки:Ночной режим. AI украсить. Портретный режим AI с боке и контролем глубины, ",серый
"Смартфон OPPO Reno 5, Starry Black",199990,Android 11,"6.43""",128Гб,64/8/2/2Мп,44Мп,бесплатно,Oppo,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:AMOLED, Количество ядер:8, Датчики:акселерометр, Тип устройства / товара:смартфон, Модель:Reno5, Цвет передней панели:чёрный, Серия смартфона:Reno 5, Автофокусировка:есть, Разрешение снимков:3468 x 4624 (4:3), Встроенная вспышка:есть, Дополнительные функции фотосъемки:Ночной режим, видео, фото, портретный режим, функция записи видео с двух ракурсов, замедленная съемка, таймлапс, портретный режим AI Mixed, режим Эксперт, Ultra HD, панорамный режим, сканнер текста, макросъемка, стикеры, макеты soloop, Google объектив, ",чёрный
"Смартфон Vivo X60 Pro, Blue",369990,Android 11,"6.56""",256Гб,48 + 13 + 13,32,бесплатно,Vivo,"Количество SIM-карт:2 SIM, Разрешение экрана:2376x1080, Технология изготовления экрана:AMOLED, Датчики:gps, Тип устройства / товара:смартфон, Модель:X60 Pro, Цвет передней панели:чёрный, Автофокусировка:нет, Встроенная вспышка:есть, Дополнительные функции фотосъемки:Ночь, Портрет, Фото, Видео, 48MP, PANO, Live Photo, Slow-Mo, Time Lapse, PRO, AR Stickers, Super Moon, DOC, Astro, Pro Sports, Long-Exposure, ",синий
"Смартфон OPPO A54 64 GB, Blue",109990,Android 11,"6.51""",64Гб,13+2+2,16,бесплатно,Oppo,"Количество SIM-карт:2 SIM, Разрешение экрана:1600x720, Технология изготовления экрана:LCD, Количество ядер:8, Датчики:gps, Тип устройства / товара:смартфон, Модель:A54, Цвет передней панели:чёрный, Серия смартфона:Oppo A54, Автофокусировка:нет, Встроенная вспышка:есть, Дополнительные функции фотосъемки:Фото, видео, ночной режим, портретный режим, панорамная съемка, макросъемка, стикеры, замедленная съемка, ускоренная съемка, режим Эксперт, ",
"Смартфон Xiaomi Redmi Note 10 64GB, Pebble White",89990,Android,"6.43""",64Гб,48+8+2+2,13,бесплатно,Xiaomi,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:Super AMOLED, Количество ядер:8, Датчики:акселерометр, Тип устройства / товара:смартфон, Модель:Redmi Note 10, Цвет передней панели:белый, Автофокусировка:нет, Встроенная вспышка:есть, ",белый
"Смартфон Samsung Galaxy A72 256Gb, White (SM-A725FZWHSKZ)",209890,Android 11,"6.7""",256Гб,64+12+8+5,32,бесплатно,Samsung,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:Super AMOLED, Количество ядер:8, Датчики:Face ID, Тип устройства / товара:смартфон, Модель:Galaxy A72 (SM-A725FZWHSKZ), Цвет передней панели:белый, Автофокусировка:есть, Встроенная вспышка:есть, ",белый
"Смартфон OPPO Reno 5, Fantasy Silver",199990,Android 11,"6.43""",128Гб,64/8/2/2Мп,44Мп,бесплатно,Oppo,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:AMOLED, Количество ядер:8, Датчики:акселерометр, Тип устройства / товара:смартфон, Модель:Reno5, Цвет передней панели:чёрный, Серия смартфона:Reno 5, Автофокусировка:есть, Разрешение снимков:3468 x 4624 (4:3), Встроенная вспышка:есть, Дополнительные функции фотосъемки:Ночной режим, видео, фото, портретный режим, функция записи видео с двух ракурсов, замедленная съемка, таймлапс, портретный режим AI Mixed, режим Эксперт, Ultra HD, панорамный режим, сканнер текста, макросъемка, стикеры, макеты soloop, Google объектив, ",серебристый
Смартфон Xiaomi Redmi Note 10 4/128GB White,109990,Android 11,"6.4""",128Гб,48 МП + 8 МП + 2 МП + 2 МП,13,бесплатно,Xiaomi,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:AMOLED, Количество ядер:8, Датчики:акселерометр, Тип устройства / товара:смартфон, Модель:Redmi Note 10, Цвет передней панели:белый, Автофокусировка:нет, Встроенная вспышка:есть, ",белый
"Смартфон Oppo A74 4/128, Prism Black",139990,Android 11,"6.43""",128Гб,48+2+2,16,бесплатно,Oppo,"Количество SIM-карт:2 SIM, Разрешение экрана:1080 x 2400, Технология изготовления экрана:AMOLED, Количество ядер:8, Датчики:gps, Тип устройства / товара:смартфон, Модель:A74, Цвет передней панели:чёрный, Автофокусировка:нет, Встроенная вспышка:есть, Дополнительные функции фотосъемки:Основная: Фото, видео, ночной режим, режим Эксперт, панорамный режим, портретный режим, таймлапс, замедленная съемка, сканер текста и Google Lens., ",чёрный
"Смартфон Oppo A74 4/128, Midnight Blue",139990,Android 11,"6.43""",128Гб,48+2+2,16,бесплатно,Oppo,"Количество SIM-карт:2 SIM, Разрешение экрана:1080 x 2400, Технология изготовления экрана:AMOLED, Количество ядер:8, Датчики:gps, Тип устройства / товара:смартфон, Модель:A74, Цвет передней панели:чёрный, Автофокусировка:нет, Встроенная вспышка:есть, Дополнительные функции фотосъемки:Основная: Фото, видео, ночной режим, режим Эксперт, панорамный режим, портретный режим, таймлапс, замедленная съемка, сканер текста и Google Lens., ",синий
"Смартфон OPPO A54 64GB, Black",109990,Android 11,"6.51""",64Гб,13+2+2,16,бесплатно,Oppo,"Количество SIM-карт:2 SIM, Разрешение экрана:1600x720, Технология изготовления экрана:LCD, Количество ядер:8, Датчики:gps, Тип устройства / товара:смартфон, Модель:A54, Цвет передней панели:чёрный, Серия смартфона:Oppo A54, Автофокусировка:нет, Встроенная вспышка:есть, Дополнительные функции фотосъемки:Фото, видео, ночной режим, портретный режим, панорамная съемка, макросъемка, стикеры, замедленная съемка, ускоренная съемка, режим Эксперт, ",
"Смартфон Samsung Galaxy A72 256Gb, Blue (SM-A725FZBHSKZ)",209890,Android 11,"6.7""",256Гб,64+12+8+5,32,бесплатно,Samsung,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:Super AMOLED, Количество ядер:8, Датчики:Face ID, Тип устройства / товара:смартфон, Модель:Galaxy A72 (SM-A725FZBHSKZ), Цвет передней панели:голубой, Автофокусировка:есть, Встроенная вспышка:есть, ",голубой
"Смартфон Samsung Galaxy A72 256Gb, Black (SM-A725FZKHSKZ)",209890,Android 11,"6.7""",256Гб,64+12+8+5,32,бесплатно,Samsung,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:Super AMOLED, Количество ядер:8, Датчики:Face ID, Тип устройства / товара:смартфон, Модель:Galaxy A72 (SM-A725FZKHSKZ), Цвет передней панели:чёрный, Автофокусировка:есть, Встроенная вспышка:есть, ",чёрный
"Смартфон OPPO Reno 5 Lite, Fantastic Purple",159990,Android 11,"6.43""",128Гб,48/8/2/2,32,бесплатно,Oppo,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:AMOLED, Количество ядер:8, Датчики:акселерометр, Тип устройства / товара:смартфон, Модель:Reno5 Lite, Цвет передней панели:чёрный, Серия смартфона:Reno 5 Lite, Автофокусировка:есть, Встроенная вспышка:есть, Дополнительные функции фотосъемки:Широкоугольная камера: 8 Мп, f / 2.2, FOV 119 °, объектив 5P, фиксированный фокус, эквивалентное фокусное расстояние 16 мм Макрообъектив: 2 Мп, f / 2.4, угол обзора 89 °, объектив 3P, фиксированный фокус Монообъектив: f / 2.4, угол обзора 89 °, объектив 3P, фиксированный фокус, ",
"Смартфон Samsung Galaxy A72 6/128Gb, White (SM-A725FZWDSKZ)",189890,Android 11,"6.7""",128Гб,64+12+8+5,32,бесплатно,Samsung,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:Super AMOLED, Количество ядер:8, Датчики:Face ID, Тип устройства / товара:смартфон, Модель:Galaxy A72 (SM-A725FZWDSKZ), Цвет передней панели:белый, Автофокусировка:есть, Встроенная вспышка:есть, ",белый
"Смартфон Samsung Galaxy A72 128Gb, Black (SM-A725FZKDSKZ)",189890,Android 11,"6.7""",128Гб,64+12+8+5,32,бесплатно,Samsung,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:Super AMOLED, Количество ядер:8, Датчики:Face ID, Тип устройства / товара:смартфон, Модель:Galaxy A72 (SM-A725FZKDSKZ), Цвет передней панели:чёрный, Автофокусировка:есть, Встроенная вспышка:есть, ",чёрный
"Смартфон Samsung Galaxy A72 128Gb, Lavende (SM-A725FLVDSKZ)",189890,Android 11,"6.7""",128Гб,64+12+8+5,32,бесплатно,Samsung,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:Super AMOLED, Количество ядер:8, Датчики:Face ID, Тип устройства / товара:смартфон, Модель:Galaxy A72 (SM-A725FLVDSKZ), Автофокусировка:есть, Встроенная вспышка:есть, ",лавандовый
"Смартфон Samsung Galaxy A72 128Gb, Blue (SM-A725FZBDSKZ)",189890,Android 11,"6.7""",128Гб,64+12+8+5,32,бесплатно,Samsung,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:Super AMOLED, Количество ядер:8, Датчики:Face ID, Тип устройства / товара:смартфон, Модель:Galaxy A72 (SM-A725FZBDSKZ), Цвет передней панели:голубой, Автофокусировка:есть, Встроенная вспышка:есть, ",голубой
"Смартфон OPPO Reno 5 Lite, Fluid Black",159990,Android 11,"6.43""",128Гб,48/8/2/2,32,бесплатно,Oppo,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:AMOLED, Количество ядер:8, Датчики:акселерометр, Тип устройства / товара:смартфон, Модель:Reno5 Lite, Цвет передней панели:чёрный, Серия смартфона:Reno 5 Lite, Автофокусировка:есть, Встроенная вспышка:есть, Дополнительные функции фотосъемки:Широкоугольная камера: 8 Мп, f / 2.2, FOV 119 °, объектив 5P, фиксированный фокус, эквивалентное фокусное расстояние 16 мм Макрообъектив: 2 Мп, f / 2.4, угол обзора 89 °, объектив 3P, фиксированный фокус Монообъектив: f / 2.4, угол обзора 89 °, объектив 3P, фиксированный фокус, ",чёрный
"Смартфон Samsung Galaxy A52 256Gb, White (SM-A525FZWISKZ)",179890,Android 11,"6.5""",256Гб,64+12+5+5,32,бесплатно,Samsung,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:Super AMOLED, Количество ядер:8, Датчики:акселерометр, Тип устройства / товара:смартфон, Модель:Galaxy A52 (SM-A525FZWISKZ), Цвет передней панели:белый, Автофокусировка:есть, Встроенная вспышка:есть, ",белый
"Смартфон Samsung Galaxy A52 128Gb, Lavender (SM-A525FLVDSKZ)",159890,Android 11,"6.5""",128Гб,64+12+5+5,32,бесплатно,Samsung,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:Super AMOLED, Количество ядер:8, Датчики:акселерометр, Тип устройства / товара:смартфон, Модель:Galaxy A52 (SM-A525FLVDSKZ), Автофокусировка:есть, Встроенная вспышка:есть, ",лавандовый
