Title,Price,Operating_system,Display_diagonal,Memory,Main_Camera,Front_Camera,Delivery,Manufacturer,Manufacturer_country,Features,Color
Смартфон Samsung Galaxy S20+ Black,319890,Android 10,"6,7″ - 170,2 мм",128 GB,64 Mpx + 12 Mpx + 12 Mpx,10 Mpx,бесплатно,Samsung,Вьетнам,"Мультитач, разрешение 8K, 100х зум",Черный
Смартфон Samsung Galaxy S20+ Gray,319890,Android 10,"6,7″ - 170,2 мм",128 GB,64 Mpx + 12 Mpx + 12 Mpx,10 Mpx,бесплатно,Samsung,Вьетнам,"Мультитач, разрешение 8K, 100х зум",Серый
Смартфон Samsung Galaxy S21 128GB Gray,349890,Android 11,"6,2″ - 15,8 см",128 GB,12 Mpx + 64 Mpx + 12 Mpx,10 Mpx,бесплатно,Samsung,Вьетнам,"Алюминиевая рамка. Датчики: ГЛОНАСС, BDS, GALILEO, акселерометр, гироскоп, приближение, компас, барометр. Быстрая зарядка. Двойной видеозвонок, Авто-HDR.",Серый
Смартфон Samsung Galaxy S21 128GB Pink,349890,Android 11,"6,2″ - 15,8 см",128 GB,12 Mpx + 64 Mpx + 12 Mpx,10 Mpx,бесплатно,Samsung,Вьетнам,"Алюминиевая рамка. Датчики: ГЛОНАСС, BDS, GALILEO, акселерометр, гироскоп, приближение, компас, барометр. Быстрая зарядка. Двойной видеозвонок, Авто-HDR.",Розовый
Смартфон Samsung Galaxy S21 128GB Violet,349890,Android 11,"6,2″ - 15,8 см",128 GB,12 Mpx + 64 Mpx + 12 Mpx,10 Mpx,бесплатно,Samsung,Вьетнам,"Датчики: ГЛОНАСС, BDS, GALILEO, акселерометр, гироскоп, приближение, компас, барометр. Быстрая зарядка. Двойной видеозвонок, Авто-HDR.",Фиолетовый
Смартфон Samsung Galaxy S21 128GB White,349890,Android 11,"6,2″ - 15,8 см",128 GB,12 Mpx + 64 Mpx + 12 Mpx,10 Mpx,бесплатно,Samsung,Вьетнам,"Алюминиевая рамка. Датчики: ГЛОНАСС, BDS, GALILEO, акселерометр, гироскоп, приближение, компас, барометр. Быстрая зарядка. Двойной видеозвонок, Авто-HDR.",Белый
Смартфон Samsung Galaxy S21 256GB Gray,369890,Android 11,"6,2″ - 15,8 см",256 GB,12 Mpx + 64 Mpx + 12 Mpx,10 Mpx,бесплатно,Samsung,Вьетнам,"Алюминиевая рамка. Датчики: ГЛОНАСС, BDS, GALILEO, акселерометр, гироскоп, приближение, компас, барометр. Быстрая зарядка. Двойной видеозвонок, Авто-HDR.",Серый
Смартфон Samsung Galaxy S21 256GB Pink,369890,Android 11,"6,2″ - 15,8 см",256 GB,12 Mpx + 64 Mpx + 12 Mpx,10 Mpx,бесплатно,Samsung,Вьетнам,"Алюминиевая рамка. Датчики: ГЛОНАСС, BDS, GALILEO, акселерометр, гироскоп, приближение, компас, барометр. Быстрая зарядка. Двойной видеозвонок, Авто-HDR.",Розовый
Смартфон Samsung Galaxy S21 256GB Violet,369890,Android 11,"6,2″ - 15,8 см",256 GB,12 Mpx + 64 Mpx + 12 Mpx,10 Mpx,бесплатно,Samsung,Вьетнам,"Алюминиевая рамка. Датчики: ГЛОНАСС, BDS, GALILEO, акселерометр, гироскоп, приближение, компас, барометр. Быстрая зарядка. Двойной видеозвонок, Авто-HDR.",Фиолетовый
Смартфон Samsung Galaxy S21 256GB White,369890,Android 11,"6,2″ - 15,8 см",256 GB,12 Mpx + 64 Mpx + 12 Mpx,10 Mpx,бесплатно,Samsung,Вьетнам,"Алюминиевая рамка. Датчики: ГЛОНАСС, BDS, GALILEO, акселерометр, гироскоп, приближение, компас, барометр. Быстрая зарядка. Двойной видеозвонок, Авто-HDR.",Белый
Смартфон Samsung Galaxy S21 Ultra 128GB Black,429890,Android 11,"6,8″ - 17,27 см",128 GB,108 Mpx + 12 Mpx + 10 Mpx + 10 Mpx,40 Mpx,бесплатно,Samsung,Вьетнам,"Алюминиевая рамка. Светодиодная вспышка, авто-HDR, панорама. Отпечаток пальца (под дисплеем, ультразвуковой), акселерометр, гироскоп, приближение, компас, барометр  	Samsung DeX, Samsung Wireless DeX (поддержка рабочего стола). ANT +. Быстрая зарядка",Черный
Смартфон Samsung Galaxy S21 Ultra 128GB Silver,429890,Android 11,"6,8″ - 17,27 см",128 GB,108 Mpx + 12 Mpx + 10 Mpx + 10 Mpx,40 Mpx,бесплатно,Samsung,Вьетнам,"Алюминиевая рамка. Светодиодная вспышка, авто-HDR, панорама. Отпечаток пальца (под дисплеем, ультразвуковой), акселерометр, гироскоп, приближение, компас, барометр  	Samsung DeX, Samsung Wireless DeX (поддержка рабочего стола). ANT +. Быстрая зарядка",Серебристый
Смартфон Samsung Galaxy S21 Ultra 256GB Black,449890,Android 11,"6,8″ - 17,27 см",256 GB,108 Mpx + 12 Mpx + 10 Mpx + 10 Mpx,40 Mpx,бесплатно,Samsung,Вьетнам,"Алюминиевая рамка. Светодиодная вспышка, авто-HDR, панорама. Отпечаток пальца (под дисплеем, ультразвуковой), акселерометр, гироскоп, приближение, компас, барометр  	Samsung DeX, Samsung Wireless DeX (поддержка рабочего стола). ANT +. Быстрая зарядка",Черный
Смартфон Samsung Galaxy S21 Ultra 256GB Silver,449890,Android 11,"6,8″ - 17,27 см",256 GB,108 Mpx + 12 Mpx + 10 Mpx + 10 Mpx,40 Mpx,бесплатно,Samsung,Вьетнам,"Алюминиевая рамка. Светодиодная вспышка, авто-HDR, панорама. Отпечаток пальца (под дисплеем, ультразвуковой), акселерометр, гироскоп, приближение, компас, барометр  	Samsung DeX, Samsung Wireless DeX (поддержка рабочего стола). ANT +. Быстрая зарядка",Серебристый
Смартфон Samsung Galaxy S21 Ultra 512GB Black,489890,Android 11,"6,8″ - 17,27 см",512 GB,108 Mpx + 12 Mpx + 10 Mpx + 10 Mpx,40 Mpx,бесплатно,Samsung,Вьетнам,"Алюминиевая рамка. Светодиодная вспышка, авто-HDR, панорама. Отпечаток пальца (под дисплеем, ультразвуковой), акселерометр, гироскоп, приближение, компас, барометр  	Samsung DeX, Samsung Wireless DeX (поддержка рабочего стола). ANT +. Быстрая зарядка",Черный
Смартфон Samsung Galaxy S21 Ultra 512GB Silver,489890,Android 11,"6,8″ - 17,27 см",512 GB,108 Mpx + 12 Mpx + 10 Mpx + 10 Mpx,40 Mpx,бесплатно,Samsung,Вьетнам,"Алюминиевая рамка. Светодиодная вспышка, авто-HDR, панорама. Отпечаток пальца (под дисплеем, ультразвуковой), акселерометр, гироскоп, приближение, компас, барометр  	Samsung DeX, Samsung Wireless DeX (поддержка рабочего стола). ANT +. Быстрая зарядка",Серебристый
Смартфон Samsung Galaxy S21+ 8/128GB Black,369890,Android 11,"6,7″ - 170,2 мм",128 GB,64 Mpx + 12 Mpx + 12 Mpx,10 Mpx,бесплатно,Samsung,Вьетнам,"Алюминиевая рамка. Отпечаток пальца (под дисплеем, ультразвуковой), акселерометр, гироскоп, приближение, компас, барометр",Черный
Смартфон Samsung Galaxy S21+ 8/128GB Silver,369890,Android 11,"6,7″ - 170,2 мм",128 GB,64 Mpx + 12 Mpx + 12 Mpx,10 Mpx,бесплатно,Samsung,Вьетнам,"Алюминиевая рамка. Отпечаток пальца (под дисплеем, ультразвуковой), акселерометр, гироскоп, приближение, компас, барометр",Серый
Смартфон Samsung Galaxy S21+ 8/128GB Violet,369890,Android 11,"6,7″ - 170,2 мм",128 GB,64 Mpx + 12 Mpx + 12 Mpx,10 Mpx,бесплатно,Samsung,Вьетнам,"Алюминиевая рамка. Отпечаток пальца (под дисплеем, ультразвуковой), акселерометр, гироскоп, приближение, компас, барометр",Фиолетовый
Смартфон Samsung Galaxy S21+ 8/256GB Black,389890,Android 11,"6,7″ - 170,2 мм",256 GB,64 Mpx + 12 Mpx + 12 Mpx,10 Mpx,бесплатно,Samsung,Вьетнам,"Алюминиевая рамка. Отпечаток пальца (под дисплеем, ультразвуковой), акселерометр, гироскоп, приближение, компас, барометр",Черный
Смартфон Samsung Galaxy S21+ 8/256GB Silver,389890,Android 11,"6,7″ - 170,2 мм",256 GB,64 Mpx + 12 Mpx + 12 Mpx,10 Mpx,бесплатно,Samsung,Вьетнам,"Алюминиевая рамка. Отпечаток пальца (под дисплеем, ультразвуковой), акселерометр, гироскоп, приближение, компас, барометр",Серый
Смартфон Samsung Galaxy S21+ 8/256GB Violet,389890,Android 11,"6,7″ - 170,2 мм",256 GB,64 Mpx + 12 Mpx + 12 Mpx,10 Mpx,бесплатно,Samsung,Вьетнам,"Алюминиевая рамка. Отпечаток пальца (под дисплеем, ультразвуковой), акселерометр, гироскоп, приближение, компас, барометр",Фиолетовый
Смартфон Samsung Galaxy Z Flip3 8/128GB Black,549890,Android 11,"6,7″ - 170,2 мм",128 GB,12 Mpx + 12 Mpx,10 Mpx,бесплатно,Samsung,Вьетнам,Водонепроницаемость IPX8,Черный
Смартфон Samsung Galaxy Z Flip3 8/128GB Cream,549890,Android 11,"6,7″ - 170,2 мм",128 GB,12 Mpx + 12 Mpx,10 Mpx,бесплатно,Samsung,Вьетнам,Водонепроницаемость IPX8,Бежевый
Смартфон Samsung Galaxy Z Flip3 8/128GB Green,549890,Android 11,"6,7″ - 170,2 мм",128 GB,12 Mpx + 12 Mpx,10 Mpx,бесплатно,Samsung,Вьетнам,Водонепроницаемость IPX8,Зеленый
Смартфон Samsung Galaxy Z Flip3 8/128GB Violet,549890,Android,"6,7″ - 170,2 мм",128 GB,12 Mpx + 12 Mpx,10 Mpx,бесплатно,Samsung,Вьетнам,Мультиактивное окно,Фиолетовый
Смартфон Samsung Galaxy Z Flip3 8/256GB Black,579890,Android 11,"6,7″ - 170,2 мм",256 GB,12 Mpx + 12 Mpx,10 Mpx,бесплатно,Samsung,Вьетнам,Водонепроницаемость IPX8,Черный
Смартфон Samsung Galaxy Z Flip3 8/256GB Cream,579890,Android 11,"6,7″ - 170,2 мм",256 GB,12 Mpx + 12 Mpx,10 Mpx,бесплатно,Samsung,Вьетнам,Водонепроницаемость IPX8,Бежевый
