Country_name,Total_cases,Total_deaths,Total_recovered,Active_cases,New_cases,New_deaths,Total_tests,Population
Saudi Arabia,"712,644","8,957 ","670,780","32,907","+3,747",+3,"38,814,099","35,679,734 "
Guatemala,"711,076","16,501 ","650,321","44,254",,,"3,658,004","18,444,714 "
Azerbaijan,"703,334","8,898 ","648,512","45,924","+4,680",+27,"6,278,899","10,285,187 "
Sri Lanka,"620,732","15,621 ","581,659","23,452","+2,212",+26,"6,155,804","21,556,723 "
Paraguay,"607,947","17,605 ","533,190","57,152",,,"2,428,300","7,272,489 "
Kuwait,"578,819","2,510 ","522,882","53,427",,,"7,110,604","4,371,440 "
Dominican Republic,"562,613","4,325 ","553,816","4,472",,,"2,995,816","11,021,701 "
Myanmar,"538,409","19,310 ","514,223","4,876",+508,,"6,546,337","54,992,622 "
Finland,"534,790","2,095 ","46,000","486,695","+19,898",+37,"9,571,590","5,554,476 "
Palestine,"529,439","4,897 ","468,509","56,033",,,"3,078,533","5,290,691 "
Venezuela,"496,283","5,487 ","474,087","16,709",,,"3,359,014","28,307,169 "
Moldova,"467,271","10,768 ","407,139","49,364",,,"2,833,736","4,018,979 "
Ethiopia,"466,539","7,363 ","400,948","58,228",,,"4,391,357","119,508,124 "
Latvia,"453,751","4,960 ","330,746","118,045","+3,646",+9,"6,259,259","1,852,867 "
Libya,"452,950","6,080 ","401,674","45,196","+2,832",+13,"2,286,483","7,020,533 "
Mongolia,"449,531","2,127 ","313,256","134,148",+860,+3,"4,030,048","3,362,598 "
Egypt,"439,651","22,936 ","372,332","44,383",,,"3,693,367","105,416,079 "
Bahrain,"421,081","1,411 ","358,973","60,697",,,"8,965,358","1,795,894 "
Singapore,"397,823",871 ,"360,343","36,609",,,"22,779,662","5,923,856 "
Honduras,"397,548","10,548 ","127,289","259,711",,,"1,189,896","10,156,178 "
Armenia,"391,588","8,097 ","352,985","30,506","+1,631",+11,"2,783,288","2,972,094 "
Estonia,"385,567","2,065 ","281,792","101,710","+4,621",+6,"2,913,114","1,327,961 "
Bosnia and Herzegovina,"356,930","14,800 ","192,218","149,912",+575,+78,"1,643,253","3,248,202 "
Oman,"354,597","4,180 ","328,215","22,202","+2,410",+8,"25,000,000","5,313,880 "
Qatar,"346,546",652 ,"333,780","12,114",+923,,"3,325,285","2,807,805 "
Kenya,"322,151","5,621 ","296,108","20,422",+55,,"3,261,313","55,661,920 "
Zambia,"307,317","3,933 ","300,898","2,486",+111,+3,"3,206,432","19,205,402 "
