"Смартфон Infinix HOT 10T, 128Gb, Black (X689C)",77990₸,Android,6.82,128 Гб,48 + 2 + AI,8,Infinix,,Черный
"Смартфон Infinix Note 10, 128Gb, Black (X693)",91990₸,Android,6.95,128 Гб,48 + 2 + 2 + AI,16,Infinix,,Черный
"Смартфон Infinix HOT 10 Lite, 64Gb, Midnight Black (X657B)",57990₸,Android,6.6,64 Гб,13 + AI,8,Infinix,,Черный
"Смартфон Infinix HOT 10 Play, 64Gb, Purple (X688B)",63990₸,Android,6.82,64 Гб,13 + AI,8,Infinix,,"Фиолетовый, Черный"
"Смартфон Infinix HOT 10 Play, 64Gb, Aegean Blue (X688B)",63990₸,Android,6.82,64 Гб,13 + AI,8,Infinix,,"Синий, Черный"
"Смартфон Infinix HOT 10 Lite, 32Gb, Midnight Black (X657B)",47990₸,Android,6.6,32 Гб,13 + AI,8,Infinix,,Черный
"Смартфон Infinix HOT 10 Play, 64Gb, Morandi Green (X688B)",63990₸,Android,6.82,64 Гб,13 + AI,8,Infinix,,"Зеленый, Черный"
"Смартфон Infinix HOT 10 Play, 64Gb, Obsidian Black (X688B)",63990₸,Android,6.82,64 Гб,13 + AI,8,Infinix,,Черный
"Смартфон Samsung Galaxy A03s, 64Gb, Black (SM-A037F)",73200₸,Android,6.5,64 Гб,13 + 2 + 2,5,Samsung,,Черный
"Смартфон Samsung Galaxy A03s, 32Gb, White (SM-A037F)",63800₸,Android,6.5,32 Гб,13 + 2 + 2,5,Samsung,,Белый
"Смартфон Samsung Galaxy A03s, 32Gb, Blue (SM-A037F)",63800₸,Android,6.5,32 Гб,13 + 2 + 2,5,Samsung,,"Голубой, Черный"
"Смартфон Samsung Galaxy A03s, 64Gb, Blue (SM-A037F)",73200₸,Android,6.5,64 Гб,13 + 2 + 2,5,Samsung,,"Голубой, Черный"
"Смартфон Xiaomi Redmi 10, 6Gb, 128Gb, Pebble White (21061119AG)",109990₸,Android,6.5,128 Гб,50 + 8 + 2 + 2,8,Xiaomi,Corning Gorilla Glass 3,Белый
"Смартфон Xiaomi Redmi 10, 4Gb, 64Gb, Pebble White (21061119AG)",79990₸,Android,6.5,64 Гб,50 + 8 + 2 + 2,8,Xiaomi,Corning Gorilla Glass 3,Белый
"Смартфон Xiaomi Redmi 10, 4Gb, 128b, Carbon Gray (21061119AG)",99990₸,Android,6.5,128 Гб,50 + 8 + 2 + 2,8,Xiaomi,Corning Gorilla Glass 3,"Серый, Черный"
"Смартфон Xiaomi Redmi 10, 4Gb, 64b, Carbon Gray (21061119AG)",79990₸,Android,6.5,64 Гб,50 + 8 + 2 + 2,8,Xiaomi,Corning Gorilla Glass 3,"Серый, Черный"
"Смартфон Xiaomi Redmi 10, 4Gb, 128Gb, Pebble White (21061119AG)",99990₸,Android,6.5,128 Гб,50 + 8 + 2 + 2,8,Xiaomi,Corning Gorilla Glass 3,Белый
"Смартфон Samsung Galaxy A03s, 32Gb, Black (SM-A037F)",63800₸,Android,6.5,32 Гб,13 + 2 + 2,5,Samsung,,Черный
"Смартфон Samsung Galaxy A72, 128Gb, Violet (SM-A725F)",182200₸,Android,6.7,128 Гб,64 + 12 + 8 + 5,32,Samsung,,"Фиолетовый, Черный"
"Смартфон Xiaomi Redmi 10, 4Gb, 64Gb, Sea Blue (21061119AG)",79990₸,Android,6.5,64 Гб,50 + 8 + 2 + 2,8,Xiaomi,Corning Gorilla Glass 3,"Белый, Голубой"
"Смартфон Samsung Galaxy A12, 64Gb, Blue (SM-A127F)",75100₸,Android,6.5,64 Гб,48 + 5 + 2 + 2,8,Samsung,,"Голубой, Черный"
"Смартфон Samsung Galaxy A12, 64Gb, Black (SM-A127F)",75100₸,Android,6.5,64 Гб,48 + 5 + 2 + 2,8,Samsung,,Черный
"Смартфон Samsung Galaxy A12, 64Gb, Red (SM-A127F)",79800₸,Android,6.5,64 Гб,48 + 5 + 2 + 2,8,Samsung,,"Красный, Черный"
"Смартфон Samsung Galaxy A22, 64Gb, Mint (SM-A225F)",89990₸,Android,6.4,64 Гб,48 + 8 + 2 + 2,13,Samsung,,"Зеленый, Черный"
"Смартфон Samsung Galaxy A12, 32Gb, Black (SM-A127F)",69990₸,Android,6.5,32 Гб,48 + 5 + 2 + 2,8,Samsung,,Черный
"Смартфон realme C21Y, 32Gb, Blue (RMX3261)",56300₸,Android,6.5,32 Гб,13 + 2 + 2,5,realme,,"Голубой, Черный"
"Смартфон Xiaomi Redmi 10, 4Gb, 128Gb, Sea Blue (21061119AG)",99990₸,Android,6.5,128 Гб,50 + 8 + 2 + 2,8,Xiaomi,Corning Gorilla Glass 3,"Белый, Голубой"
"Смартфон Samsung Galaxy A22, 128Gb, Mint (SM-A225F)",99500₸,Android,6.4,128 Гб,48 + 8 + 2 + 2,13,Samsung,,"Зеленый, Черный"
"Смартфон realme C21Y, 32Gb, Black (RMX3261)",56300₸,Android,6.5,32 Гб,13 + 2 + 2,5,realme,,Черный
"Смартфон Samsung Galaxy A22, 64Gb, White (SM-A225F)",89990₸,Android,6.4,64 Гб,48 + 8 + 2 + 2,13,Samsung,,Белый
"Смартфон realme C21Y, 64Gb, Blue (RMX3261)",69990₸,Android,6.5,64 Гб,13 + 2 + 2,5,realme,,"Голубой, Черный"
"Смартфон realme C21Y, 64Gb, Black (RMX3261)",69990₸,Android,6.5,64 Гб,13 + 2 + 2,5,realme,,Черный
"Смартфон Samsung Galaxy A12, 32Gb, Red (SM-A127F)",69990₸,Android,6.5,32 Гб,48 + 5 + 2 + 2,8,Samsung,,"Красный, Черный"
"Смартфон Samsung Galaxy A12, 32Gb, Blue (SM-A127F)",69990₸,Android,6.5,32 Гб,48 + 5 + 2 + 2,8,Samsung,,"Голубой, Черный"
"Смартфон Samsung Galaxy A72, 128Gb, White (SM-A725F)",183200₸,Android,6.7,128 Гб,64 + 12 + 8 + 5,32,Samsung,,"Белый, Черный"
"Смартфон Xiaomi Redmi 9C, 128Gb, Midnight Gray (M2006C3MG)",69990₸,Android,6.53,128 Гб,13 + 2 + 2,5,Xiaomi,,Черный
"Смартфон Samsung Galaxy A22, 128Gb, Black (SM-A225F)",99500₸,Android,6.4,128 Гб,48 + 8 + 2 + 2,13,Samsung,,Черный
"Смартфон Samsung Galaxy A22, 64Gb, Black (SM-A225F)",89990₸,Android,6.4,64 Гб,48 + 8 + 2 + 2,13,Samsung,,Черный
